LOCATION,YEAR,TOTAL_COLLISIONS,BICYLCLES_IN_TOTAL,PEDESTRIANS_IN_TOTAL,X,Y
DIAMONDVIEW RD @ OLD COACH RD (0002465),2016,1,,,336618.2299,5024005.575
VAUGHAN SIDE RD btwn SHANNA RD & WILLIAM HODGINS LANE (__3ZAC0U),2016,1,,,336684.6818,5020811.522
MARCH RD btwn GREY FOX DR & HOWIE RD (__3ZA2QF),2016,2,,,336702.3852,5016785.786
CONSTANCE BAY RD @ DUNROBIN RD (0002322),2016,2,,,336736.6951,5037257.145
DUNROBIN RD btwn CONSTANCE BAY RD & CONSTANCE BAY RD (__3ZA4E0),2016,1,,,336766.1481,5037228.895
BAYVIEW DR W @ BISHOP DAVIS DR W (0006065),2016,1,,,336774.0721,5038969.999
CONSTANCE BAY RD btwn TO BE DETERMINED & WILLAND LANE (__3ZA4GW),2016,3,,,337122.015,5037610.312
CORKERY RD btwn MARCH RD & MANION RD (__3ZACCH),2016,1,,,337340.1174,5014773.616
BAYVIEW DR btwn LEN PURCELL DR & STIVER RD (__3ZAC7Q),2016,1,,,337405.8488,5040340.629
DUNROBIN RD btwn CONSTANCE BAY RD & KINBURN SIDE RD (__3ZA3FF),2016,4,,,337425.0672,5036577.193
KINBURN SIDE RD btwn WOODKILTON RD & DUNROBIN RD (__3ZA3GH),2016,1,,,337490.572,5035460.173
UPPER DWYER HILL RD btwn OLD ALMONTE RD & HAMILTON SIDE RD (__3ZBOB3),2016,1,,,337504.2832,5010452.889
CONSTANCE BAY RD btwn WILLAND LANE & MONTY DR (__3ZA4CR),2016,1,,,337573.6036,5038024.154
SUNNING HILLS CRES btwn STIVER RD & BALDWIN ST (__3ZAC7E),2016,1,,,337705.6492,5040063.918
THOMAS A. DOLAN PKWY btwn CARP RD & STONECREST RD (__3ZA1XZ),2016,1,,,337881.1301,5027234.068
MARCH RD btwn JACOB'S GT & BEARHILL RD (__3ZA2Q0),2016,1,,,337909.556,5017781.746
WOODKILTON RD btwn KINBURN SIDE RD & VANCES SIDE RD (__3ZAC8L),2016,1,,,338012.6965,5033872.072
DUNROBIN RD @ KINBURN SIDE RD (0001688),2016,1,,,338029.6,5035929.631
CARP RD btwn THOMAS A. DOLAN PKWY & NORMA LANE (__3ZAZ54),2016,2,,,338041.1584,5024890.636
DIAMONDVIEW RD @ DONALD B. MUNRO DR (0011597),2016,3,,,338126.326,5022167.943
DONALD B. MUNRO DR btwn DIAMONDVIEW RD & OLD COACH RD (__3ZAC9L),2016,2,,,338442.8877,5022469.074
LIMERICK LANE btwn KILKENNY DR & END (__3ZAC8U),2016,1,,,338506.5679,5029825.075
MARCH RD btwn BEARHILL RD & ROB LYTLE'S LANE (__3ZA2QA),2016,3,,,338644.1882,5018453.062
STONECREST RD btwn DUNHAVEN DR & THOMAS A. DOLAN PKWY (__3ZAC8O),2016,1,,,338873.2142,5028935.537
HOWIE RD btwn JIULIA LAKE PRIV & PESKETT RD (__3ZA1PC),2016,1,,,338946.1178,5015128.881
DUNROBIN RD btwn KINBURN SIDE RD & VANCES SIDE RD (__3ZA3FG),2016,6,,,339063.575,5034776.25
DIAMONDVIEW RD btwn DONALD B. MUNRO DR & WILLIAM HODGINS LANE (__3ZAZNV),2016,1,,,339080.5772,5021075.08
UPPER DWYER HILL RD btwn HAMILTON SIDE RD & MCARTON RD (__3ZA4E9),2016,3,,,339109.3893,5008685.034
MARCH RD btwn ROB LYTLE'S LANE & HWY417 IC155 RAMP25 (__3ZBN9D),2016,1,,,339144.844,5018949.485
HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC155 RAMP26 (__3ZA1M3),2016,8,,,339487.3306,5019358.492
MARCH RD btwn HWY417 IC155 RAMP35 & HWY417 IC155 RAMP26 (__3ZA1MW),2016,1,,,339551.842,5019326.03
MCARTON RD btwn LOWE RD & UPPER DWYER HILL RD (__3ZACCU),2016,1,,,339606.7653,5007087.919
MARCH RD btwn HWY417 IC155 RAMP61 & HWY417 IC155 RAMP36 (__3ZA1MZ),2016,2,,,339834.1751,5019587.018
HIGHWAY 417 btwn HWY417 IC155 RAMP35 & HWY417 IC155 RAMP25 (__3ZAZNU),2016,10,,,339857.5935,5019227.617
HIGHWAY 417 btwn HWY417 IC155 RAMP26 & HWY417 IC155 RAMP61 (__3ZA1MY),2016,1,,,339924.1911,5019241.867
UPPER DWYER HILL RD @ MCARTON RD (0011461),2016,2,,,340117.486,5007541.444
MARCH RD @ DIAMONDVIEW RD (0010764),2016,2,,,340134.3649,5019864.373
WOODKILTON RD btwn VANCES SIDE RD & THOMAS A. DOLAN PKWY (__3ZA2O1),2016,1,,,340172.4311,5031644.404
GREENLAND RD btwn ARMITAGE AVE & ROCK FOREST RD (__3ZAC6E),2016,1,,,340200.3371,5038201.777
CARP RD btwn CRAIG'S SIDE RD & CHARLIE'S LANE (__3ZA3GL),2016,1,,,340343.8668,5023784.818
MARCH RD btwn DIAMONDVIEW RD & THOMAS ARGUE RD (__3ZA3GN),2016,1,,,340628.4147,5020333.121
OLD ALMONTE RD btwn HOWIE RD & BEAVERTAIL RD (__3ZBNAR),2016,2,,,340779.0025,5013913.795
CARP RD btwn JUANITA AVE & FALLDOWN LANE (__3ZBPHB),2016,1,,,340872.8691,5023180.367
DUNROBIN RD btwn VANCES SIDE RD & PORCUPINE TR (__3ZA3H0),2016,3,,,341060.0609,5032784.98
MARCH RD @ THOMAS ARGUE RD (0005762),2016,1,,,341122.66,5020801.658
CARP RD @ DONALD B. MUNRO DR (0001595),2016,2,,,341191.7,5022819.265
HIGHWAY 7 btwn UPPER DWYER HILL RD & HIGHWAY 7 (__7JQ7LM),2016,6,,,341273.8735,5007396.716
BEAVERTAIL RD @ OLD ALMONTE RD (0006061),2016,1,,,341307.5121,5014599.464
ASHTON STATION RD @ FLEWELLYN RD (0000418),2016,1,,,341541.4849,5001976.426
FLEWELLYN RD btwn ASHTON STATION RD & WORLEY ST (__3ZACCZ),2016,1,,,341581.4855,5002010.925
CARP RD btwn RIVINGTON ST & MARCH RD (__3ZA3GJ),2016,1,,,341752.2393,5022182.533
FLEWELLYN RD btwn WORLEY ST & ORMROD RD (__3ZAC05),2016,2,,,341776.5141,5002180.807
THOMAS A. DOLAN PKWY btwn WOODKILTON RD & DUNROBIN RD (__3ZAC26),2016,1,,,341780.9544,5030986.332
BEAVERTAIL RD btwn OLD ALMONTE RD & RICHARDSON SIDE RD (__3ZACCJ),2016,1,,,341801.9908,5014043.148
GOLF CLUB WAY btwn NO NAME & WESTLEIGH BLVD (__7JQ7KA),2016,1,,,341906.8992,5007911.528
DUNROBIN RD @ PORCUPINE TR (0001685),2016,1,,,341946.5981,5031874.586
DUNROBIN RD btwn PORCUPINE TR & THOMAS A. DOLAN PKWY (__3ZA3EC),2016,1,,,342139.7416,5031673.524
MCGEE SIDE RD btwn DAVID MANCHESTER RD & DIAMONDVIEW RD (__3ZACBW),2016,1,,,342151.3781,5017579.703
CARP RD @ MARCH RD (0001689),2016,7,,,342164.5471,5021732.505
DUNROBIN RD @ THOMAS A. DOLAN PKWY (0003181),2016,3,,,342338.2899,5031478.736
DONALD B. MUNRO DR @ MEADOWRIDGE CIR (0014619),2016,1,,,342360.1529,5022829.133
SECOND LINE RD btwn THOMAS A. DOLAN PKWY & MURPHY SIDE RD (__3ZBNBL),2016,1,,,342527.5276,5028954.602
TORWOOD DR btwn FARM LANE & VANCES SIDE RD (__3ZAC2Z),2016,1,,,342623.7649,5037172.732
MARCH RD btwn CARP RD & DONALD B. MUNRO DR (__3ZA3FJ),2016,3,,,342630.6181,5022159.88
DONALD B. MUNRO DR btwn ROBERTLEE DR & TO BE DETERMINED (__3ZAC38),2016,1,,,342655.7961,5022718.21
RICHARDSON SIDE RD btwn BEAVERTAIL RD & SPRUCE RIDGE RD (__3ZAC5K),2016,1,,,342741.6333,5013944.844
THOMAS A. DOLAN PKWY btwn PORCUPINE TR & CONSTANCE CREEK DR (__3ZA433),2016,1,,,342783.2359,5031853.262
HIGHWAY 417 btwn HWY417 IC155 RAMP25 & RAMP (__3ZAZN1),2016,5,,,342826.9519,5017070.683
VANCES SIDE RD btwn GREENLAND RD & TORWOOD DR (__3ZA3EA),2016,2,,,342852.2888,5036007.703
FLEWELLYN RD btwn ORMROD RD & DWYER HILL RD (__3ZAC6N),2016,1,,,342886.0059,5003162.149
DWYER HILL RD @ FERNBANK RD (0000091),2016,1,,,342918.503,5005065.413
GREENLAND RD btwn VANCES SIDE RD & Continuation of GREENLAND RD (__3ZA1PA),2016,2,,,343025.9022,5034839.168
DONALD B. MUNRO DR/OLD CARP RD W @ MARCH RD (0010866),2016,1,,,343092.4611,5022591.832
CARP RD btwn MARCH RD & JOHN CAVANAUGH DR (__3ZA3FZ),2016,7,,,343119.8539,5020667.862
HIGHWAY 417 btwn HWY417 IC155 RAMP61 & HWY417 IC145 RAMP56 (__3ZA2Q2),2016,12,,,343177.3579,5016768.262
RICHARDSON SIDE RD @ SPRUCE RIDGE RD (0011499),2016,1,,,343201.529,5014397.453
MARCH RD btwn DONALD B. MUNRO DR & TALL FOREST DR (__3ZA3FL),2016,1,,,343294.418,5022777.992
RICHARDSON SIDE RD btwn SPRUCE RIDGE RD & WILDMEADOW CIRC (__4KGCD7),2016,1,,,343346.53,5014529.333
DWYER HILL RD btwn FERNBANK RD & FLEWELLYN RD (__3ZA3F0),2016,1,,,343375.9315,5004533.064
FALLOWFIELD RD @ MCCAFFREY TR (0005441),2016,1,,,343382.497,5001733.404
DUNROBIN RD btwn DUNROBIN RD & MURPHY SIDE RD (__3ZA3EB),2016,5,,,343635.4204,5029951.504
HIGHWAY 7 btwn HAZELDEAN IC RAMP 53 & HIGHWAY 7 (__7JQ7LK),2016,1,,,343753.4842,5009591.237
THOMAS A. DOLAN PKWY btwn CONSTANCE CREEK DR & GREENLAND RD (__3ZAZJQ),2016,1,,,343784.3865,5032701.578
MARCH RD @ TALL FOREST DR E (0005758),2016,1,,,343832.2929,5023265.061
LASIANDRA LANE btwn LADY SLIPPER WAY & WHITETAIL DR (__4YNEK7),2016,1,,,343957.7884,5012103.916
MURPHY SIDE RD @ SECOND LINE RD (0009044),2016,1,,,343968.5879,5027532.546
FERNBANK RD btwn DWYER HILL RD & MUNSTER RD (__3ZAC55),2016,3,,,344065.4688,5006069.328
MARCH RD @ HUNTMAR DR (0011897),2016,1,,,344141.934,5023545.7
DAVID MANCHESTER RD @ RICHARDSON SIDE RD (0005808),2016,1,,,344201.54,5015306.455
SPRUCE RIDGE RD btwn RICHARDSON SIDE RD & HAZELDEAN RD (__7JQ7ID),2016,1,,,344209.0047,5013237.762
TORWOOD DR btwn VANCES SIDE RD & KERSCOTT HEIGHTS WAY (__3ZA3E0),2016,1,,,344221.0621,5035487.102
OSMOND DALEY DR btwn END & WEST LAKE CIRC (__737L4Q),2016,1,,,344331.6531,5016496.32
MARCH RD btwn MARCH RD & BEACHVALE LANE (__3ZA3FO),2016,2,,,344474.7084,5023849.57
CARP RD btwn MCGEE SIDE RD & ARBOURBROOK BLVD (__5RGDMI),2016,2,,,344553.8875,5019039.386
RICHARDSON SIDE RD btwn DAVID MANCHESTER RD & WILLIAM MOONEY RD (__3ZAC5W),2016,1,,,344705.6214,5015771.729
ASHTON STATION RD btwn MALLOCH LANE & COPELAND RD (__3ZAC6S),2016,1,,,344737.4176,4998275.324
THOMAS A. DOLAN PKWY btwn GREENLAND RD & KERSCOTT HEIGHTS WAY (__3ZAC28),2016,1,,,344745.6424,5033553.17
WILBERT COX DR @ WILBERT COX DR (0013755),2016,1,,,344804.549,5016457.46
JINKINSON RD btwn FERNBANK RD & HAZELDEAN RD (__7JQ7K3),2016,4,,,344894.7176,5010361.528
CARP RD @ ARBOURBROOK BLVD (0010694),2016,1,,,344909.766,5018636.009
BARLOW CRES btwn VANCES SIDE RD & HEATHER ST (__3ZBN0M),2016,1,,,344962.6171,5037018.281
HUNTMAR DR @ OLD CARP RD (0009039),2016,1,,,345200.574,5022384.503
DUNROBIN RD btwn MURPHY SIDE RD & LILLIAN WAY (__3ZA3FI),2016,1,,,345253.5995,5028191.05
TORWOOD DR btwn KERSCOTT HEIGHTS WAY & THOMAS A. DOLAN PKWY (__3ZA2TQ),2016,1,,,345280.9982,5034363.466
SPEEDWAY RD btwn SPRUCE RIDGE RD & END (__7JQ7KY),2016,1,,,345301.3707,5010994.093
FERNBANK RD btwn MUNSTER RD & LUCAS LANE (__3ZAC59),2016,2,,,345308.6319,5007145.857
DAVID MANCHESTER RD btwn PENNYCROSS LANE & Continuation of DAVID MANCH (__7J2ETK),2016,1,,,345367.3071,5013997.93
REIS RD btwn CARP RD & TANSLEY DR (__3ZBOA3),2016,1,,,345383.0881,5018317.069
CONSTANCE LAKE RD btwn MURPHY SIDE RD & END (__3ZAC3Z),2016,1,,,345427.3516,5028878.969
HIGHWAY 7 btwn TO BE DETERMINED & RAMP (__7JQ7L1),2016,1,,,345489.4306,5011069.023
RICHARDSON SIDE RD btwn WILLIAM MOONEY RD & CARDEVCO RD (__3ZAC42),2016,1,,,345571.2689,5016575.773
CAVANMORE RD btwn WESCAR LANE & CARP RD (__3ZA1P8),2016,1,,,345606.8421,5017447.31
MARCH RD btwn MARCHURST RD & SECOND LINE RD (__3ZA3FP),2016,3,,,345618.4092,5024889.82
SECOND LINE RD btwn LAHEY CRT & MARCH RD (__3ZAC41),2016,1,1,,345650.5309,5025794.469
FIFTH LINE RD btwn GREENLAND RD & BERRY SIDE RD (__3ZAC25),2016,2,,,345742.2184,5031839.979
DUNROBIN RD btwn LILLIAN WAY & HARWOOD LANE (__3ZBOB6),2016,2,,,345755.9193,5027699.381
THOMAS A. DOLAN PKWY btwn TORWOOD DR & STONERIDGE RD (__3ZAC2A),2016,2,,,345955.2024,5034673.97
CARP RD btwn CARDEVCO RD & WESTHUNT RD (__3ZA3FU),2016,2,,,346007.0625,5017387.963
DAVID MANCHESTER RD btwn Continuation of DAVID MANCHESTER RD & HAZELDE (__7JQ7I6),2016,1,,,346051.3887,5012684.672
RAMP btwn HIGHWAY 7 & HWY417 IC145 RAMP56 (__3ZAY8L),2016,1,,,346086.5766,5014752.375
MARCH RD @ SECOND LINE RD (0008850),2016,2,,,346103.5929,5025327.525
DUNROBIN RD btwn HARWOOD LANE & KERWIN RD (__3ZA3FH),2016,2,,,346135.6011,5027326.042
FLEWELLYN RD @ MUNSTER RD E (0005442),2016,1,,,346145.531,5006067.39
HIGHWAY 7 WB btwn HIGHWAY 417 HWY 7 RAMP 66/76 & HIGHWAY 7 HAZELDEAN IC RAMP 34 (__7JQ7KW),2016,1,,,346192.1414,5013655.727
FALLOWFIELD RD btwn KOLO DR & BILTMORE CRES (__4LVLON),2016,1,,,346200.8645,5004191.278
CARP RD @ RICHARDSON SIDE RD (0005759),2016,3,,,346209.563,5017160.461
HIGHWAY 7 btwn HWY 7 HAZELDEAN RD IC RAMP 63 & HAZELDEAN RD (__7JQ7JC),2016,3,,,346218.1806,5011883.084
HIGHWAY 7 btwn HWY417 IC145 RAMP55 & RAMP (__7JQ7JU),2016,1,,,346250.1955,5013548.2
DUNROBIN RD @ KERWIN RD (0008846),2016,1,,,346290.6011,5027174.54
ASHTON STATION RD @ FRANKTOWN RD (0010368),2016,2,,,346299.497,4996556.37
HWY 7 HAZELDEAN RD IC RAMP 34 btwn HAZELDEAN RD & HIGHWAY 7 (__7JQ7KQ),2016,1,,,346325.3975,5012744.937
FRANKTOWN RD btwn ASHTON STATION RD & STARLIGHT PL (__5A65CP),2016,1,,,346336.0919,4996881.543
COPELAND RD btwn ASHTON STATION RD & DWYER HILL RD (__3ZAC6T),2016,1,,,346341.2738,4998775.13
DWYER HILL RD btwn MCCAFFREY TR & BLEEKS RD (__3ZA3FE),2016,1,,,346353.5894,5001110.32
FRANKTOWN RD btwn ASHTON STATION RD & ASHTON STATION RD (__3ZA3FB),2016,1,,,346355.5301,4996437.528
HIGHWAY 7 btwn HWY 7 HAZELDEAN RD IC RAMP 52 & HAZELDEAN RD IC RAMP 62 (__7JQ7JA),2016,5,,,346356.2296,5012670.092
HWY 7 HAZELDEAN RD IC RAMP 24 btwn HIGHWAY 7 & HAZELDEAN RD (__7JQ7J5),2016,1,,,346389.4053,5012039.874
SECOND LINE RD btwn MALEY LANE & WILD ACRE LANE (__3ZAC4W),2016,1,,,346505.179,5024899.099
DUNROBIN RD btwn KERWIN RD & ROCHON WAY (__3ZA3EG),2016,1,,,346512.1611,5026971.361
HAZELDEAN RD @ HWY 7 HAZELDEAN IC RAMP 24 (0010663),2016,1,,,346577.282,5012282.352
HUNTMAR DR btwn OLD CARP RD & BRADLEY SIDE RD (__3ZACWD),2016,4,,,346589.0438,5020833.827
MARCH RD btwn SECOND LINE RD & DUNROBIN RD (__3ZA3FQ),2016,1,,,346599.2807,5025784.642
RICHARDSON SIDE RD btwn CARP RD & OAK CREEK RD (__3ZAC40),2016,3,,,346706.9041,5017626.157
HIGHWAY 417 btwn HWY417 IC145 RAMP55 & HWY417 IC144 RAMP51 (__3ZA2Q4),2016,1,,,346815.0626,5015275.445
DUNROBIN RD btwn WAYBURN AVE & RIDDELL DR (__3ZA3EE),2016,1,,,347054.0201,5026447.481
HIGHWAY 417 btwn HWY417 IC144 RAMP51 & HWY417 IC144 RAMP35 (__3ZA2Q5),2016,2,,,347161.4008,5015591.659
DUNROBIN RD @ MARCH RD (0003175),2016,3,,,347176.9101,5026065.53
KERWIN RD btwn MOWBRAY ST & FIFTH LINE RD (__3ZBNC2),2016,1,,,347253.7276,5028697.58
HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC144 RAMP16 (__3ZA2Q6),2016,10,,,347254.7114,5015733.936
SECOND LINE RD @ THOMAS FULLER DR (0009054),2016,1,,,347281.5959,5024065.513
FLEWELLYN RD btwn MUNSTER RD & CONLEY RD (__3ZACRD),2016,2,,,347293.8696,5007083.923
CARP RD/HWY 417 CARP IC144R63 @ HWY 417 CARP I (0001100),2016,3,,,347302.1181,5015925.564
CARP RD btwn HWY417 IC144 RAMP16 & HWY417 IC144 RAMP35 (__3ZA3F4),2016,1,,,347359.3707,5015861.672
FIFTH LINE RD @ KERWIN RD (0011756),2016,1,,,347362.9411,5030142.42
HWY417 IC144 RAMP63 btwn CARP RD & HWY417 IC144 RAMP62 (__3ZAY8P),2016,1,,,347366.3516,5015983.203
