LOCATION,YEAR,TOTAL_COLLISIONS,BICYLCLES_IN_TOTAL,PEDESTRIANS_IN_TOTAL,X,Y
AIRPORT PKWY btwn AIRPORT PKWY/HUNT CLUB RAMP 42 & WALKLEY RD NB RAMP (__3ZAZP9),2014,5,,,370381.97105,5024701.93405
AIRPORT PKWY btwn AIRPORT PKWY/WALKLEY RD SOUTHBOUND ON RAMP           (__3ZA1KS),2014,1,,,370193.3724,5025324.93964
AIRPORT PKWY btwn BROOKFIELD RAMP 34 & BRONSON AVE RAMP 24C (__3ZA229),2014,2,,,368727.40071,5026623.37965
AIRPORT PKWY btwn BROOKFIELD RAMP 34 & BROOKFIELD RAMP 52B (__3ZA228),2014,2,,,368788.12796,5026439.98868
AIRPORT PKWY btwn RAMP & AIRPORT PKWY (2) (__3ZA22Z),2014,6,,,370952.37674,5023858.87673
AIRPORT PKWY btwn RAMP & RAMP (1) (__3ZA223),2014,1,,,368980.61684,5026178.96147
AIRPORT PKWY btwn RAMP & RAMP (2) (__3ZA224),2014,1,,,368860.81708,5026297.60721
AIRPORT PKWY btwn RAMP & RAMP (4) (__3ZA22T),2014,1,,1,371151.9837,5022441.26478
AIRPORT PKWY btwn RAMP & RAMP (6) (__3ZA23I),2014,1,,,371239.54617,5021496.86128
AIRPORT PKWY btwn RAMP & TO BE DETERMINED (__3ZA222),2014,5,,,369680.53613,5025879.68038
AIRPORT PKWY/ALERT/UPLANDS/LESTER/RAMP62 btwn LESTER RD & AIRPORT PKWY (__3ZAY9A),2014,1,,,371286.95522,5021488.14978
AIRPORT PKWY/BRONSON/HERON RAMP 24 @ BRONSON A (0001628),2014,1,,,368692.7151,5026732.5359
AIRPORT PKWY/BROOKFIELD RD @ FLANNERY DR/AIRPORT PKWY RAMPS 52A/53 (0006850),2014,8,1,,368723.206,5026305.5499
AIRPORT PKWY/HUNT CLUB RAMP 34 btwn AIRPORT PKWY & TO BE DETERMINED (__3ZAY5O),2014,2,,,370915.49338,5023905.67392
AIRPORT PKWY/HUNT CLUB RAMP 42 btwn AIRPORT PKWY & TO BE DETERMINED (__3ZAY5Q),2014,2,,,370866.83696,5024034.51605
AIRPORT PKWY/WALKLEY RD NB OFF RAMP @ WALKLEY RD (0011348),2014,1,,,370077.7219,5025791.5279
AKINS RD @ SHEA RD (0000422),2014,1,,,354868.6121,5010020.3841
ALBERNI ST @ WESSEX RD (0001301),2014,1,,,363661.6841,5015250.4359
ALBERT ST @ BANK ST (0002115),2014,3,,,367385.703,5031423.577
ALBERT ST @ BAY ST (0006357),2014,2,,,366942.7019,5031143.5751
ALBERT ST @ BOOTH ST (0002162),2014,12,,,366428.7011,5030626.571
ALBERT ST @ BRONSON AVE (0002160),2014,2,,,366739.7019,5031016.574
ALBERT ST @ COMMISSIONER ST (0002171),2014,3,,,366713.7011,5030971.574
ALBERT ST @ ELGIN ST/MACKENZIE KING BRIDGE (0002226),2014,7,,,367850.7049,5031711.5789
ALBERT ST @ EMPRESS AVE (0010851),2014,3,,,366576.7011,5030720.571
ALBERT ST @ KENT ST (OTTAWA) (0003136),2014,9,,1,367221.703,5031319.5759
ALBERT ST @ LYON ST (0002208),2014,6,,2,367062.7019,5031219.5759
ALBERT ST @ METCALFE ST (0002117),2014,3,1,,367691.7041,5031613.5789
ALBERT ST @ O'CONNOR ST (0002116),2014,4,,,367538.7041,5031520.5781
ALBERT ST @ PRESTON ST (0002217),2014,5,,,366160.7,5030464.569
ALBERT ST btwn BANK ST & O'CONNOR ST (__3ZA35O),2014,2,,,367462.20355,5031472.07755
ALBERT ST btwn BAY ST & LYON ST N (__3ZA33B),2014,2,,,367002.7019,5031181.5755
ALBERT ST btwn BRICKHILL ST & COMMISSIONER ST (__3ZA2GZ),2014,1,,,366689.9879,5030925.49445
ALBERT ST btwn KENT ST & BANK ST (__3ZA3CA),2014,4,,,367303.703,5031371.57645
ALBERT ST btwn LYON ST N & KENT ST (__3ZA3C9),2014,3,,1,367142.51135,5031269.11242
ALBERT ST btwn METCALFE ST & ELGIN ST (__3ZA353),2014,1,,,367770.69742,5031663.55427
ALBERT ST btwn O'CONNOR ST & METCALFE ST (__3ZA35U),2014,1,,,367615.2041,5031567.0785
ALBERT ST btwn PRESTON ST & Continuation of ALBERT ST (__3ZA33O),2014,1,,,366226.7,5030507.06955
ALBERT ST btwn SCOTT ST & CITY CENTRE AVE (1) (__3ZA32WA),2014,1,,,365671.87614,5030163.0423
ALBION RD    S btwn JOHNSTON RD & END (__3ZA1DQ),2014,1,,,371458.18791,5025329.79372
ALBION RD @ 210 S OF HIGH RD/EARL ARMSTRONG RD (0012478),2014,1,,,374709.8236,5017555.2281
ALBION RD @ BADEN AVE/MAASS GT (0012539),2014,1,,,372495.7359,5022805.5041
ALBION RD @ BANK ST (0012409),2014,6,,,371946.7321,5024129.514
ALBION RD @ BRAMPTON RD (0009610),2014,1,,,372178.734,5023566.5099
ALBION RD @ BRIDLE PATH DR (0009630),2014,1,,,372106.7329,5023740.511
ALBION RD @ FINDLAY CREEK DR (0013587),2014,2,,,374010.0249,5019208.543
ALBION RD @ HUNT CLUB RD (0006974),2014,14,,,371869.4921,5024320.809
ALBION RD @ LESTER RD (0004175),2014,9,,,372694.737,5022332.5011
ALBION RD @ MITCH OWENS RD (0004212),2014,2,,,375906.754,5014804.4471
ALBION RD @ RIDEAU RD (0009356),2014,1,,,375092.751,5016674.4611
ALBION RD @ SOUTHGATE RD/ROYAL OAK CRT (0006985),2014,1,,,371817.731,5024443.517
ALBION RD @ WYLDEWOOD ST (0009604),2014,1,,,372292.7351,5023293.5079
ALBION RD btwn 210 S OF HIGH RD/EARL ARMSTRONG RD/RIDEAU CARLETON RACE (__3ZA3S0B),2014,2,,,374903.31101,5017109.99726
ALBION RD btwn ALBION RD S & BANK ST (__3ZA2PX),2014,4,,,371940.727,5024143.07905
ALBION RD btwn BANK ST & DES MESANGES DR (__3ZBORZ),2014,3,,,371967.27531,5024074.13666
ALBION RD btwn BRAMPTON RD & D'AOUST AVE (__3ZBORJ),2014,1,,,372198.234,5023518.50945
ALBION RD btwn COLLISTON CRES & LILIBET CRES (__4BSGQS),2014,1,,,371067.43055,5026273.01305
ALBION RD btwn DEL ZOTTO AVE & HIGH RD (__3ZBOF9),2014,6,,,374317.7766,5018477.24117
ALBION RD btwn LEITRIM RD & QUINN RD (__3ZA3SC),2014,1,,,373565.00596,5020262.48483
ALBION RD btwn LESTER RD & LEITRIM RD (__3ZA3SQ),2014,6,,,373095.20227,5021375.49096
ALBION RD btwn QUINN RD & DEL ZOTTO AVE (__3ZA3SA),2014,2,,,373711.44124,5019914.31163
ALBION RD btwn RIDEAU RD & TULLAMORE ST (__5RGNIJ),2014,1,,,375369.49025,5016038.18623
ALBION RD/COLLISTON CRES E @ WALKLEY RD (0011422),2014,6,,1,371033.726,5026354.531
ALDERCREST DR btwn FIELDROW ST & OAKVIEW AVE (__3ZAASP),2014,1,,,364309.6951,5022915.50355
ALERT RD btwn HIGH RD & THAD JOHNSON PRIV (__3ZA2HB),2014,1,,,371887.97696,5020785.79065
ALERT RD/AIRPORT PKWY/UPLANDS DR RAMP 62 @ LES (0003652),2014,6,,1,371306.7011,5021353.7841
ALESTHER ST @ DONALD ST (0008493),2014,6,,,371992.7181,5032460.5789
ALESTHER ST @ QUEEN MARY ST (0008476),2014,2,1,,372120.72,5032152.5759
ALESTHER ST btwn TELFORD AVE & DUNBRACK ST (__3ZA824),2014,1,,,371845.5899,5032612.04646
ALEXANDER ST @ SUSSEX DR (0007656),2014,2,,,367891.7,5034015.6019
ALEXANDER ST btwn SUSSEX DR & THOMAS ST (__3ZA8BY),2014,1,,,367943.7,5033994.1015
ALEXANDRA BR btwn MURRAY ST & END (__3ZA2TK),2014,3,,,367323.79951,5032440.09943
ALFA ST btwn TARTAN DR & HALLEY ST (__3ZAA7P),2014,1,,,362711.67645,5014106.4241
ALICE ST btwn ST. CHARLES ST & ST. AMBROISE ST (__3ZA8WR),2014,1,,,369663.7071,5033591.09455
ALLBIRCH RD @ CONSTANCE BAY RD (0006015),2014,1,,,337866.0759,5038297.0271
ALLENBY RD btwn COLLINGWOOD CRES & AYTON LANE (1) (__3ZACVU),2014,1,,,349536.84768,5023228.82854
ALMOND LANE btwn PICKFORD DR & END (__3ZAB3E),2014,1,,,352943.22546,5018381.52978
ALPINE AVE @ CARLING AVE (0011382),2014,10,,,360496.677,5024942.5189
ALPINE AVE @ ELMHURST ST (0002985),2014,1,,,360597.677,5024680.517
ALPINE AVE @ SEVERN AVE (0006578),2014,1,,,360818.6781,5024230.5129
ALPINE AVE btwn CARLING AVE & ELMHURST ST (__3ZBNG7),2014,1,,,360550.10656,5024803.4926
ALTA VISTA DR @ BANK ST (0011318),2014,10,,,370248.0729,5026200.7359
ALTA VISTA DR @ BILLINGS AVE (0007552),2014,1,,,370350.72,5028611.5499
ALTA VISTA DR @ CUNNINGHAM AVE (0008112),2014,5,1,,370344.72,5028017.5449
ALTA VISTA DR @ EDGE HILL PL (0006849),2014,1,,,370371.723,5026294.531
ALTA VISTA DR @ FAIRCREST RD (0007580),2014,1,,,370432.7189,5028971.5521
ALTA VISTA DR @ KILBORN AVE (0008082),2014,11,3,,370365.7211,5027751.543
ALTA VISTA DR @ MOUNTBATTEN AVE (0007378),2014,1,,,370381.72,5028348.5479
ALTA VISTA DR @ RANDALL AVE (0008072),2014,1,,,370410.9249,5027364.8879
ALTA VISTA DR @ RIDGEMONT AVE (0007000),2014,1,,1,370517.723,5026673.534
ALTA VISTA DR @ ROGER RD (0007583),2014,1,1,,370405.7189,5028878.5521
ALTA VISTA DR @ SMYTH RD (0011353),2014,31,1,1,370432.7189,5029081.5529
ALTA VISTA DR @ SUMMIT AVE (0007951),2014,1,,,370403.72,5028243.5471
ALTA VISTA DR @ VALOUR DR (0012073),2014,1,,,370439.7181,5029581.557
ALTA VISTA DR @ WESMAR DR (0007865),2014,2,,,370478.2641,5026989.1981
ALTA VISTA DR btwn 75 S OF CALEDON ST & CALEDON ST (__3ZA97HA),2014,1,,,370773.19249,5030386.37381
ALTA VISTA DR btwn AYERS AVE & RIDGEMONT AVE (__3ZBORT),2014,2,,,370524.37438,5026518.86017
ALTA VISTA DR btwn BANK ST & EDGE HILL PL (__3ZA0TQ),2014,4,,,370314.82703,5026239.82411
ALTA VISTA DR btwn BILLINGS AVE & PLEASANT PARK RD (__3ZBOTQ),2014,1,,,370358.22,5028539.5489
ALTA VISTA DR btwn CLONTARF AVE & RANDALL AVE (__3ZBOTF),2014,1,,,370398.323,5027462.2145
ALTA VISTA DR btwn CLUNY ST & ABBEY RD (__3ZA94W),2014,1,,,370590.7181,5029939.56
ALTA VISTA DR btwn HERON RD & RIDGEMONT AVE (__3ZA862),2014,2,,,370504.80051,5026787.9915
ALTA VISTA DR btwn KILBORN AVE & CAVENDISH RD (__3ZA9SL),2014,1,,,370350.73634,5027884.67229
ALTA VISTA DR btwn PALEN AVE & WESMAR DR (__3ZBOUL),2014,1,,,370452.46707,5027137.05391
ALTA VISTA DR btwn PLEASANT PARK RD & MOUNTBATTEN AVE (__3ZA9HM),2014,2,,,370372.48595,5028407.90962
ALTA VISTA DR btwn RANDALL AVE & PALEN AVE (__3ZBOUH),2014,1,,,370418.36545,5027324.8234
ALTA VISTA DR btwn ROGER RD & FAIRCREST RD (__3ZA9LM),2014,1,,,370420.686,5028924.70067
ALTA VISTA DR btwn SMYTH RD & VALOUR DR (__4O00NK),2014,3,,,370385.2076,5029335.42033
ALTA VISTA DR btwn WESMAR DR & HERON RD (__3ZA860),2014,1,,,370487.18162,5026946.14435
ALTON ST btwn WESTON DR & WESTON DR (__3ZA758),2014,1,,,372302.21015,5028684.70403
AMBERCREST ST btwn MEADOWCROFT CRES & MATHESON RD (__3ZA50K),2014,2,,,373046.82378,5033189.67674
AMBERDALE CRES @ BRIAR HILL DR N (0007900),2014,1,,,371453.726,5027282.5381
AMBERWOOD CRES @ MERIVALE RD (0000101),2014,2,,,366409.7049,5020016.48
AMBERWOOD CRES btwn MERIVALE RD & BROAD OAKS CRT (__3ZBN8E),2014,1,,,366488.25294,5020055.02804
AMBIANCE DR btwn ROSETTA AVE & Continuation of AMBIANCE DR (__4O3KOW),2014,1,,,367015.24755,5016696.6425
AMBLESIDE DR btwn MCEWEN AVE & NEW ORCHARD AVE (__3ZAZQV),2014,2,1,1,361149.30732,5026125.28125
AMESBROOKE DR @ MAITLAND AVE (0003216),2014,1,,,363769.6929,5025177.523
AMHERST CRES btwn VALIANT ST & WESSEX RD (__3ZAAAZ),2014,1,,,363314.95749,5015040.73922
AMIENS ST @ TENTH LINE RD (0004168),2014,3,,,383352.7279,5037568.2249
AMIENS ST btwn DUFORD DR & BLACKHEATH ST (__3ZA5CB),2014,1,,,382378.13244,5037347.0886
AMIENS ST btwn PRESTWICK DR & TAMMY ST (__3ZA6B9),2014,2,,,383129.3114,5037474.67505
AMIENS ST btwn TAMMY ST & ROXDALE AVE (__3ZA6BD),2014,1,,,383249.2525,5037523.5759
ANALDEA DR @ BANK ST (0009265),2014,8,,,375697.8841,5020813.431
ANCONA CRES btwn MEADOWBANK DR & MEADOWBANK DR (__3ZAAGB),2014,1,,,361277.48932,5022482.18346
ANDERSON RD @ EIGHTH LINE RD (0003632),2014,1,,,381250.7819,5022943.4959
ANDERSON RD @ HWY 417 ANDERSON IC104R15 (0004152),2014,1,,,380163.771,5025670.5129
ANDERSON RD @ HWY 417 ANDERSON IC104R51 (0004150),2014,1,,,380169.771,5025656.5129
ANDERSON RD @ HWY 417 ANDERSON IC104R61 (0004159),2014,1,,,379939.769,5026229.517
ANDERSON RD @ INNES RD (0004200),2014,8,,,376280.7381,5031841.563
ANDERSON RD @ LEITRIM RD (0004148),2014,2,,,380473.774,5024908.5079
ANDERSON RD @ MITCH OWENS RD (0004110),2014,4,,,382811.7951,5019044.471
ANDERSON RD @ RIDGE RD (0003631),2014,4,,,379029.7589,5028508.5321
ANDERSON RD @ RUSSELL RD (0004145),2014,2,,,379787.7671,5026706.52
ANDERSON RD btwn DOLMAN RIDGE RD & RIDGE RD (__3ZA2B6),2014,8,,,378677.35677,5029394.00675
ANDERSON RD btwn EIGHTH LINE RD & NINTH LINE RD (__3ZBOGK),2014,2,,,381667.27301,5022039.38389
ANDERSON RD btwn INNES RD & DESJARDINS ST (__3ZBOG0),2014,5,,,376907.02797,5031615.03218
ANDERSON RD btwn LEITRIM RD & EIGHTH LINE RD (__3ZA2B8),2014,1,,,380863.57553,5023926.52206
ANDERSON RD btwn RIDGE RD & RUSSELL RD (__3ZA2B4),2014,2,,,379403.49901,5027595.34299
ANDERSON RD btwn WEIR RD & DOLMAN RIDGE RD (__3ZA2B7),2014,3,,,378036.88923,5030887.68333
ANDERSON RD/WEIR RD @ RENAUD RD (0003583),2014,2,,,377767.7449,5031503.5559
ANDERSON ST @ BOOTH ST (0003095),2014,2,,1,366650.7019,5030124.566
ANDERSON ST btwn PRESTON ST & ROCHESTER ST (__3ZBOM1),2014,1,,,366447.23104,5030044.01793
ANDERSON ST btwn ROCHESTER ST & BOOTH ST (__3ZA0VX),2014,1,,,366593.31573,5030099.83058
ANDRE AUDET AVE btwn PONDHAWK WAY/SWITCH GRASS CRES & SOLDATS-RIENDEAU ST (__8A9OLC),2014,1,,,364987.81345,5011939.2525
ANJANA CIRC btwn TARTARUGA LANE & TARTARUGA LANE (__5WHGSS),2014,1,,,361838.68368,5013792.02915
ANNA AVE @ CARLING AVE (0006248),2014,2,,,365197.6989,5027892.5471
ANWATIN ST @ ARNOLD DR (0000879),2014,1,,,357739.654,5019568.4699
ANWATIN ST @ MOODIE DR (0001472),2014,1,,,357502.3449,5019429.0841
APELDOORN AVE btwn FALAISE RD & STORMONT ST (__3ZBOLG),2014,1,,,367204.46205,5024716.89795
APOLLO WAY btwn TUPELLO WAY & ORFORD CRES (2) (__3ZBO5Z),2014,1,,,383746.754,5037718.5751
APOLLO WAY E @ MERKLEY DR E (0004867),2014,1,1,1,384175.757,5037642.5721
APPALOOSA DR btwn PALOMINO DR & PALOMINO DR (__3ZAB2P),2014,1,,,354278.11977,5017636.18551
APPLE HILL DR btwn HANK RIVERS DR & BRIGHAM WAY (__3ZAZGS),2014,2,,,372517.94894,5024217.99323
APPLE ORCHARD RD @ MANOTICK STATION RD (0005370),2014,1,,,374364.7389,5011409.4189
APPLE ORCHARD RD btwn Continuation of APPLE ORCHARD RD & BYLES WAY (__5RGVS5),2014,1,,,374738.85421,5011645.5076
APPLEDALE DR btwn GATESBURY ST & CONLAN WAY (__3ZACEB),2014,1,,,365337.63964,5015442.06205
APPLEFORD ST btwn ELMRIDGE DR & GREENACRE CRES (__3ZA7WW),2014,1,,,375062.61115,5033854.76497
APPLETON DR N @ BEAVERPOND DR N (0009926),2014,1,,,375017.731,5032155.569
AQUAPASS PL btwn GROVEMONT DR & HARBOUR VIEW ST (__44Z94S),2014,1,,,366670.6851,5014765.57978
AQUAVIEW DR btwn LAVOIE ST & SCHUBERT CIRC (__4V3I7T),2014,2,,,385287.14113,5035836.2253
AQUAVIEW DR btwn SERRANO ST & BOIS VERT PL (__4V3IDH),2014,1,,,384511.73838,5035762.5402
ARCH ST btwn BANGOR ST & HOLT CRES (__3ZBOZA),2014,1,,,372838.27276,5028422.07074
ARCH ST btwn FLEMING AVE & CANTERBURY AVE (__3ZA73L),2014,1,,,372866.09877,5028157.48691
ARENA PL @ BANK ST (0004129),2014,1,,,375400.7521,5021519.494
ARGYLE AVE @ BANK ST (0007251),2014,3,1,1,367997.3519,5030372.8661
ARGYLE AVE @ O'CONNOR ST (0007254),2014,11,,1,368184.7079,5030485.5679
ARGYLE AVE @ QUEEN ELIZABETH DRWY (0007132),2014,1,,,368693.709,5030753.5701
ARGYLE AVE btwn BANK ST & O'CONNOR ST (__3ZA8F6),2014,2,,,368091.03,5030429.21695
ARGYLE AVE E @ METCALFE ST (0007280),2014,3,,,368442.709,5030641.569
ARGYLE AVE N @ ELGIN ST (0007262),2014,2,,,368493.709,5030671.569
ARGYLE AVE W @ METCALFE ST (0007722),2014,1,,,368337.7079,5030578.569
ARLINGTON AVE @ BANK ST (0007261),2014,3,,,368010.135,5030342.7359
ARLINGTON AVE @ BRONSON AVE (0006759),2014,7,,,367222.7049,5029867.563
ARLINGTON AVE @ KENT ST (0007259),2014,10,,,367868.7071,5030257.566
ARLINGTON AVE @ LYON ST (0007257),2014,1,,,367706.7071,5030160.5649
ARLINGTON AVE btwn KENT ST & BANK ST (__3ZA977),2014,1,,,367939.4211,5030300.15095
ARMSTRONG ST @ HOLLAND AVE (0006151),2014,1,,,364862.6959,5029306.5589
ARMSTRONG ST @ MCCORMICK ST (0006273),2014,1,,,365265.6981,5029485.5611
ARMSTRONG ST @ MERTON ST (0006546),2014,1,,,365452.889,5029674.7041
ARMSTRONG ST @ PARKDALE AVE (0006267),2014,5,1,,365090.697,5029404.56
ARROWGRASS WAY btwn MONTMERE AVE & LINARIA WALK (__5UW33B),2014,1,,,386483.27688,5036367.12328
ARTHUR ST @ SOMERSET ST (0005109),2014,2,,,366829.9449,5030390.6011
ASHENVALE WAY btwn EMERILLON RIDGE & RAVENSWOOD WAY (__7JQ60K),2014,1,,,385758.38179,5034938.50425
ASHGROVE CRES btwn HIGGINS RD & WESTFIELD CRES (__3ZAAFH),2014,1,,,360933.48551,5022006.8991
ASHMORE DR btwn WHITEWATER ST & HARBOUR VIEW ST (__44Z98X),2014,1,,,366901.9445,5014674.09355
ASHTON STATION RD @ ORMROD RD (0000406),2014,1,,,341251.4841,5002312.429
ASHTON STATION RD btwn COPELAND RD & FRANKTOWN RD (__3ZAC6R),2014,1,,,345736.65931,4997126.23639
ASHTON STATION RD/GOLDEN LINE RD @ MCARTON RD (0001658),2014,1,,,338194.469,5005826.463
ASHWOOD CRES @ DARLY PL (0001117),2014,1,,,364808.6981,5023587.509
ASHWOOD CRES @ MEADOWLANDS DR (0001116),2014,1,1,,364687.697,5023632.5099
ASPEN VILLAGE CIRC btwn CUMORAH DR & CUMORAH DR (__3ZA51W),2014,1,,,380771.5377,5035041.87463
ASPENVIEW WAY/THORNECREST ST @ MEADOWGLEN DR (0012499),2014,1,,,380860.749,5034867.5679
ASSALY RD @ RICHMOND RD (0002682),2014,1,,,360729.6781,5025528.5249
ASSINIBOINE DR btwn REDPINE DR & CHESTERTON DR (__3ZA0AZ),2014,1,,,365597.8881,5023659.9306
ASTORIA CRES @ STONEWAY DR (0005150),2014,1,,,366342.7019,5016248.4479
ASTORIA CRES btwn STONEWAY DR & REDPATH DR (__3ZA1IV),2014,1,,,366481.44831,5016266.18945
ATHLONE AVE @ BYRON AVE (0006656),2014,1,,,363522.691,5028273.5499
ATHLONE AVE @ RICHMOND RD (0006293),2014,2,1,,363453.691,5028441.5521
ATHLONE AVE @ SCOTT ST (0006305),2014,1,,,363329.952,5028734.994
ATHLONE AVE btwn RICHMOND RD & BYRON AVE (__3ZA0JU),2014,1,1,,363488.191,5028357.551
ATLANTIS AVE btwn LANARK AVE & WORKMAN AVE (__3ZA0YW),2014,2,,,362881.6022,5028629.62823
ATLANTIS AVE btwn SELBY AVE & LANARK AVE (__3ZA2LI),2014,1,,,362801.00693,5028830.10912
ATTWOOD CRES btwn DEER PARK RD & DEER PARK RD (__3ZAAO8),2014,1,,,366301.97135,5025177.15531
AUGUSTA ST @ DALY AVE (0007800),2014,1,1,,369091.7071,5032577.586
AUTUMNWOOD ST btwn WYLDEWOOD ST & ALDERWOOD ST (__3ZA9ZB),2014,1,,,372015.93084,5023127.18327
AVENUE K @ TREMBLAY RD (0002140),2014,3,,,371426.7189,5031306.5701
AVENUE L @ TREMBLAY RD (0002697),2014,1,,,371495.7189,5031313.5701
AVENUE O btwn TREMBLAY RD & END (__3ZA9N6),2014,1,,,371721.00961,5031196.43296
AVIATION PKWY @ AVIATION RAMP 55/AVIATION RAMP (0001626),2014,1,,,371626.709,5035388.6071
AVIATION PKWY @ HEMLOCK RD NB ONRAMP (0011237),2014,1,,,371561.2981,5035247.7211
AVIATION PKWY @ MONTREAL RD (0008799),2014,18,,,372146.7151,5034108.594
AVIATION PKWY @ OGILVIE RD (0004114),2014,23,1,,373110.723,5032376.5759
AVIATION PKWY btwn RAMP & MONTREAL RD (__3ZA2SR),2014,2,,,371674.35913,5034577.49389
